Date,Year,Locality,Estimated Value,Sale Price,Property,Residential,num_rooms,num_bathrooms,carpet_area,property_tax_rate,Face
12/22/2011,2011,Waterbury,142200,129900,Single Family,Duplex,4,3,1455,1.025033,North
12/22/2011,2011,Unknown,257950,368000,Single Family,Detached House,3,3,1082,1.025033,North
12/23/2011,2011,Greenwich,464380,425000,Single Family,Detached House,3,3,905,1.025033,West
12/23/2011,2011,Stamford,618820,675000,Single Family,Detached House,3,2,996,1.025033,South
12/23/2011,2011,Waterbury,188050,149900,Single Family,Detached House,3,1,1010,1.025033,South
12/23/2011,2011,Unknown,444584.207,137000,Single Family,Detached House,3,2,1058,1.025033,West
12/24/2011,2011,Fairfield,1054550,1262000,Single Family,Detached House,3,3,921,1.025033,East
12/24/2011,2011,Bridgeport,148360,28000,Two Family,Duplex,4,4,1341,1.025033,West
12/28/2011,2011,Bridgeport,169450,45731,Two Family,Duplex,4,3,1472,1.025033,South
12/28/2011,2011,Fairfield,380240,515000,Single Family,Detached House,3,2,915,1.025033,North
12/28/2011,2011,Waterbury,137660,145000,Single Family,Duplex,4,3,1302,1.025033,South
12/29/2011,2011,Waterbury,126990,69000,Three Family,Triplex,6,5,2113,1.025033,North
12/29/2011,2011,Norwalk,444584.207,780000,Single Family,Detached House,3,3,1041,1.025033,East
12/29/2011,2011,Unknown,6023220,10000000,Single Family,Detached House,3,1,931,1.025033,South
12/29/2011,2011,Bridgeport,180100,120000,Single Family,Detached House,3,3,943,1.025033,South
12/30/2011,2011,Waterbury,444584.207,20500,Three Family,Triplex,6,4,1900,1.025033,North
12/30/2011,2011,Norwalk,234710,325000,Single Family,Detached House,3,1,928,1.025033,West
12/30/2011,2011,Bridgeport,116360,85000,Two Family,Duplex,4,4,1375,1.025033,West
12/31/2011,2011,Greenwich,551320,762500,Single Family,Detached House,3,1,993,1.025033,North
12/31/2011,2011,Unknown,166050,183000,Three Family,Triplex,6,4,2009,1.025033,North
12/31/2011,2011,Stamford,444584.207,422000,Single Family,Detached House,3,2,1006,1.025033,East
12/31/2011,2011,Bridgeport,147840,188000,Single Family,Detached House,3,2,1085,1.025033,South
12/31/2011,2011,Waterbury,129710,179900,Single Family,Detached House,3,3,1007,1.025033,East
12/31/2011,2011,West Hartford,213300,260000,Single Family,Detached House,3,3,1022,1.025033,East
1/4/2012,2012,Stamford,362420,410000,Single Family,Detached House,3,1,1063,1.021958,North
1/4/2012,2012,Waterbury,444584.207,112000,Single Family,Duplex,4,3,1363,1.021958,South
1/4/2012,2012,Stamford,593780,590000,Single Family,Detached House,3,3,1111.658981,1.021958,South
1/5/2012,2012,Waterbury,139780,20000,Three Family,Triplex,6,6,1111.658981,1.021958,South
1/5/2012,2012,Unknown,444584.207,290000,Single Family,Detached House,3,3,1077,1.021958,South
1/6/2012,2012,Fairfield,200000,315000,Single Family,Detached House,3,1,961,1.021958,West
1/6/2012,2012,Greenwich,732760,1202500,Single Family,Detached House,3,3,997,1.021958,North
1/7/2012,2012,West Hartford,171600,212998,Single Family,Detached House,3,3,1111.658981,1.021958,East
1/10/2012,2012,Norwalk,299880,215000,Single Family,Detached House,3,3,942,1.021958,South
1/11/2012,2012,Unknown,158280,110000,Three Family,Triplex,6,5,1840,1.021958,North
1/11/2012,2012,Waterbury,103680,100000,Two Family,Duplex,4,4,1111.658981,1.021958,North
1/11/2012,2012,Norwalk,282730,76750,Single Family,Detached House,3,1,958,1.021958,North
1/12/2012,2012,West Hartford,221800,325500,Single Family,Detached House,3,1,1033,1.021958,North
1/12/2012,2012,Waterbury,135450,36000,Three Family,Triplex,6,6,1861,1.021958,West
1/13/2012,2012,Bridgeport,444584.207,130000,Single Family,Detached House,3,1,980,1.021958,South
1/14/2012,2012,Waterbury,142990,99900,Single Family,Detached House,3,1,1111.658981,1.021958,West
1/14/2012,2012,West Hartford,173300,239640,Single Family,Detached House,3,2,989,1.021958,East
1/14/2012,2012,Bridgeport,444584.207,57000,Three Family,Triplex,6,5,1111.658981,1.021958,South
1/15/2012,2012,Greenwich,819560,760000,Single Family,Detached House,3,3,1038,1.021958,South
1/15/2012,2012,Stamford,360400,300000,Single Family,Detached House,3,2,951,1.021958,East
1/15/2012,2012,Norwalk,385070,598000,Single Family,Detached House,3,3,1077,1.021958,North
1/15/2012,2012,Norwalk,255780,320000,Two Family,Duplex,4,4,1111.658981,1.021958,North
1/19/2012,2012,Greenwich,908320,1350000,Single Family,Detached House,3,2,1042,1.021958,West
1/19/2012,2012,Waterbury,444584.207,110000,Single Family,Detached House,3,1,998,1.021958,South
1/19/2012,2012,Waterbury,169910,113000,Two Family,Duplex,4,2,1233,1.021958,East
1/20/2012,2012,Bridgeport,138120,145000,Single Family,Detached House,3,3,1111.658981,1.021958,West
1/20/2012,2012,Greenwich,509180,200000,Two Family,Duplex,4,4,1290,1.021958,North
1/20/2012,2012,Waterbury,173090,192000,Single Family,Detached House,3,3,1037,1.021958,East
1/20/2012,2012,Bridgeport,36760,136000,Single Family,Detached House,3,2,1066,1.021958,East
1/20/2012,2012,Stamford,642280,745000,Single Family,Detached House,3,2,1091,1.021958,West
1/20/2012,2012,Norwalk,294910,225000,Single Family,Detached House,3,2,1066,1.021958,West
1/21/2012,2012,Unknown,144050,220000,Single Family,Detached House,3,3,1042,1.021958,North
1/22/2012,2012,Waterbury,104210,17500,Single Family,Detached House,3,3,939,1.021958,East
1/22/2012,2012,Bridgeport,216820,323000,Single Family,Detached House,3,2,916,1.021958,West
1/22/2012,2012,Fairfield,353010,355000,Single Family,Detached House,3,3,925,1.021958,South
1/25/2012,2012,Bridgeport,444584.207,155000,Single Family,Detached House,3,2,1085,1.021958,West
1/25/2012,2012,Bridgeport,444584.207,95400,Single Family,Detached House,3,1,996,1.021958,South
1/25/2012,2012,Bridgeport,160080,30500,Three Family,Triplex,6,4,2161,1.021958,North
1/28/2012,2012,Stamford,2112700,1350000,Single Family,Detached House,3,3,928,1.021958,East
1/29/2012,2012,Stamford,333450,300000,Single Family,Detached House,3,3,1014,1.021958,South
1/29/2012,2012,Norwalk,265160,280000,Single Family,Detached House,3,2,1063,1.021958,West
1/29/2012,2012,Greenwich,382270,435000,Two Family,Duplex,4,2,1465,1.021958,North
2/1/2012,2012,West Hartford,264900,270000,Single Family,Detached House,3,2,1043,1.021958,North
2/1/2012,2012,Bridgeport,444584.207,105000,Three Family,Triplex,6,5,2017,1.021958,South
2/1/2012,2012,Waterbury,150700,145000,Single Family,Detached House,3,2,936,1.021958,South
2/1/2012,2012,West Hartford,132200,182000,Single Family,Detached House,3,1,1111.658981,1.021958,North
2/1/2012,2012,Fairfield,467950,682000,Single Family,Detached House,3,3,941,1.021958,North
2/1/2012,2012,Waterbury,137550,148500,Two Family,Duplex,4,2,1291,1.021958,East
2/2/2012,2012,Norwalk,494690,385000,Two Family,Duplex,4,2,1350,1.021958,South
2/2/2012,2012,Stamford,297420,275000,Single Family,Detached House,3,3,1018,1.021958,East
2/2/2012,2012,Bridgeport,171440,69287,Two Family,Duplex,4,2,1272,1.021958,South
2/3/2012,2012,Unknown,337190,465000,Single Family,Detached House,3,2,973,1.021958,East
2/3/2012,2012,Unknown,186550,223000,Single Family,Detached House,3,2,1037,1.021958,East
2/3/2012,2012,Bridgeport,444584.207,300000,Three Family,Triplex,6,5,1954,1.021958,South
2/4/2012,2012,Waterbury,94680,155412,Single Family,Detached House,3,3,930,1.021958,West
2/4/2012,2012,Stamford,442430,380000,Three Family,Triplex,6,6,1930,1.021958,East
2/4/2012,2012,Bridgeport,194160,284000,Single Family,Detached House,3,3,978,1.021958,South
2/8/2012,2012,West Hartford,444584.207,715000,Single Family,Detached House,3,2,1020,1.021958,East
2/8/2012,2012,Stamford,296230,339000,Single Family,Detached House,3,1,1076,1.021958,East
2/8/2012,2012,Norwalk,256620,288000,Single Family,Detached House,3,1,966,1.021958,South
2/9/2012,2012,Bridgeport,140370,160000,Three Family,Triplex,6,6,1111.658981,1.021958,South
2/9/2012,2012,Norwalk,382130,495500,Single Family,Detached House,3,1,1089,1.021958,East
2/9/2012,2012,Bridgeport,172160,206000,Single Family,Detached House,3,1,1111.658981,1.021958,West
2/9/2012,2012,Greenwich,2889460,2100000,Single Family,Detached House,3,2,963,1.021958,South
2/10/2012,2012,Waterbury,88530,50000,Single Family,Detached House,3,2,1022,1.021958,West
2/11/2012,2012,Bridgeport,217880,114741,Two Family,Duplex,4,3,1461,1.021958,South
2/11/2012,2012,Waterbury,109830,160000,Single Family,Detached House,3,3,1020,1.021958,South
2/11/2012,2012,Greenwich,1496110,1600000,Single Family,Detached House,3,1,964,1.021958,South
2/12/2012,2012,Norwalk,283990,365000,Single Family,Detached House,3,1,951,1.021958,West
2/12/2012,2012,Greenwich,1296540,1580000,Single Family,Detached House,3,1,911,1.021958,West
2/12/2012,2012,Unknown,2438940,3305000,Single Family,Detached House,3,1,902,1.021958,West
2/16/2012,2012,Stamford,410650,436000,Single Family,Detached House,3,2,959,1.021958,West
2/16/2012,2012,West Hartford,256700,395000,Single Family,Detached House,3,2,953,1.021958,North
2/16/2012,2012,Bridgeport,119870,70000,Single Family,Detached House,3,2,1082,1.021958,South
2/16/2012,2012,Unknown,444584.207,285000,Single Family,Detached House,3,2,1010,1.021958,West
2/16/2012,2012,West Hartford,444584.207,130000,Single Family,Detached House,3,1,1001,1.021958,East
2/17/2012,2012,Stamford,584260,675000,Single Family,Detached House,3,3,1111.658981,1.021958,South
2/17/2012,2012,Norwalk,940940,635000,Single Family,Detached House,3,3,1023,1.021958,West
2/18/2012,2012,Bridgeport,117330,35000,Single Family,Detached House,3,1,957,1.021958,South
2/19/2012,2012,Fairfield,306950,299000,Single Family,Detached House,3,2,918,1.021958,North
2/22/2012,2012,Norwalk,290220,180000,Single Family,Detached House,3,2,976,1.021958,North
2/22/2012,2012,West Hartford,241900,327500,Single Family,Detached House,3,1,1079,1.021958,East
2/22/2012,2012,Norwalk,276920,337000,Single Family,Detached House,3,2,1066,1.021958,East
2/23/2012,2012,Unknown,146650,185400,Single Family,Detached House,3,3,1073,1.021958,South
2/23/2012,2012,Waterbury,444584.207,40000,Three Family,Triplex,6,4,1866,1.021958,East
2/23/2012,2012,Bridgeport,86140,35200,Single Family,Detached House,3,2,1097,1.021958,South
2/23/2012,2012,Waterbury,138030,71500,Single Family,Detached House,3,1,1111.658981,1.021958,South
2/23/2012,2012,Unknown,153000,29000,Three Family,Triplex,6,6,2196,1.021958,South
2/25/2012,2012,Norwalk,444584.207,1825000,Single Family,Detached House,3,2,1039,1.021958,North
3/1/2012,2012,West Hartford,207800,292500,Single Family,Detached House,3,1,1029,1.021958,East
3/1/2012,2012,Waterbury,116610,4484,Single Family,Triplex,6,4,2021,1.021958,East
3/1/2012,2012,West Hartford,259800,312500,Single Family,Detached House,3,1,1097,1.021958,South
3/1/2012,2012,Fairfield,444584.207,455000,Single Family,Detached House,3,1,936,1.021958,North
3/2/2012,2012,Stamford,778050,913000,Single Family,Detached House,3,1,1099,1.021958,North
3/2/2012,2012,Bridgeport,206150,200000,Single Family,Detached House,3,3,1111.658981,1.021958,East
3/3/2012,2012,Bridgeport,121780,165000,Single Family,Detached House,3,3,1111.658981,1.021958,East
3/3/2012,2012,Bridgeport,110560,74000,Two Family,Duplex,4,4,1385,1.021958,South
3/3/2012,2012,Stamford,444584.207,202000,Single Family,Detached House,3,3,977,1.021958,East
3/3/2012,2012,Bridgeport,134820,43000,Single Family,Triplex,6,4,1111.658981,1.021958,East
3/3/2012,2012,Bridgeport,444584.207,250000,Two Family,Duplex,4,3,1111.658981,1.021958,South
3/4/2012,2012,Bridgeport,145900,187000,Single Family,Detached House,3,3,923,1.021958,West
3/4/2012,2012,Waterbury,135790,25000,Single Family,Triplex,6,6,1991,1.021958,West
3/4/2012,2012,Fairfield,258580,300000,Two Family,Duplex,4,3,1111.658981,1.021958,North
3/5/2012,2012,Greenwich,444584.207,4344000,Single Family,Detached House,3,1,1051,1.021958,West
3/5/2012,2012,Norwalk,254590,269000,Single Family,Detached House,3,3,996,1.021958,South
3/5/2012,2012,Unknown,444584.207,738500,Single Family,Detached House,3,1,1111.658981,1.021958,West
3/8/2012,2012,Bridgeport,90671,128961,Four Family,Fourplex,8,6,2733,1.021958,South
3/8/2012,2012,West Hartford,296700,425000,Single Family,Detached House,3,3,1094,1.021958,East
3/8/2012,2012,Norwalk,444584.207,99900,Single Family,Detached House,3,1,1070,1.021958,North
3/8/2012,2012,West Hartford,155600,162500,Two Family,Duplex,4,2,1111.658981,1.021958,East
3/9/2012,2012,Bridgeport,135850,125000,Single Family,Detached House,3,2,902,1.021958,West
3/10/2012,2012,Waterbury,159980,109500,Three Family,Triplex,6,4,2124,1.021958,West
3/10/2012,2012,Unknown,431890,470500,Single Family,Detached House,3,3,936,1.021958,East
3/10/2012,2012,Stamford,388090,450000,Single Family,Detached House,3,3,988,1.021958,North
3/10/2012,2012,Norwalk,403900,540000,Single Family,Detached House,3,3,909,1.021958,West
3/11/2012,2012,Waterbury,107580,136000,Single Family,Detached House,3,2,923,1.021958,West
3/12/2012,2012,Norwalk,494690,305000,Two Family,Duplex,4,4,1111.658981,1.021958,West
3/12/2012,2012,Stamford,214740,436480,Single Family,Detached House,3,2,1111.658981,1.021958,South
3/15/2012,2012,Greenwich,1326570,1100000,Single Family,Detached House,3,2,1002,1.021958,East
3/15/2012,2012,Bridgeport,201570,170000,Single Family,Fourplex,8,6,2504,1.021958,West
3/15/2012,2012,Norwalk,504420,633000,Single Family,Detached House,3,1,1031,1.021958,South
3/15/2012,2012,Unknown,110940,36138,Three Family,Triplex,6,6,1873,1.021958,West
3/15/2012,2012,Waterbury,132070,65000,Three Family,Triplex,6,6,2147,1.021958,West
3/15/2012,2012,Fairfield,304010,348000,Single Family,Detached House,3,2,1087,1.021958,West
3/15/2012,2012,Norwalk,320950,355000,Single Family,Detached House,3,2,923,1.021958,South
3/16/2012,2012,Bridgeport,83020,48100,Single Family,Detached House,3,1,991,1.021958,West
3/16/2012,2012,Stamford,386840,490000,Single Family,Detached House,3,3,1092,1.021958,East
3/16/2012,2012,Stamford,827530,1142366,Single Family,Detached House,3,2,952,1.021958,South
3/16/2012,2012,West Hartford,509400,548550,Single Family,Detached House,3,1,928,1.021958,South
3/17/2012,2012,Greenwich,922460,922000,Single Family,Detached House,3,2,1111.658981,1.021958,South
3/17/2012,2012,Stamford,484780,28000,Single Family,Detached House,3,1,1078,1.021958,South
3/18/2012,2012,Bridgeport,444584.207,63100,Two Family,Duplex,4,2,1403,1.021958,West
3/18/2012,2012,Bridgeport,128140,7000,Single Family,Detached House,3,2,1004,1.021958,East
3/18/2012,2012,Waterbury,133910,132300,Single Family,Detached House,3,1,911,1.021958,South
3/18/2012,2012,Bridgeport,128140,7000,Single Family,Detached House,3,2,1012,1.021958,West
3/18/2012,2012,Norwalk,444584.207,235000,Single Family,Detached House,3,1,978,1.021958,West
3/19/2012,2012,Greenwich,1006390,1337500,Single Family,Detached House,3,2,1038,1.021958,West
3/22/2012,2012,Fairfield,496930,545000,Single Family,Detached House,3,1,938,1.021958,West
3/22/2012,2012,Bridgeport,220730,230000,Three Family,Triplex,6,5,1800,1.021958,West
3/22/2012,2012,Bridgeport,173620,175000,Single Family,Duplex,4,4,1243,1.021958,West
3/22/2012,2012,Waterbury,102180,90000,Single Family,Detached House,3,2,1056,1.021958,South
3/22/2012,2012,Fairfield,523320,765000,Single Family,Detached House,3,1,1026,1.021958,South
3/22/2012,2012,Bridgeport,131370,60000,Single Family,Detached House,3,1,921,1.021958,West
3/23/2012,2012,Bridgeport,147050,35000,Two Family,Duplex,4,3,1275,1.021958,West
3/24/2012,2012,Bridgeport,149940,155000,Two Family,Duplex,4,2,1277,1.021958,South
3/29/2012,2012,Fairfield,234150,249000,Single Family,Detached House,3,1,1005,1.021958,West
3/29/2012,2012,Waterbury,117410,165000,Two Family,Duplex,4,2,1475,1.021958,West
3/29/2012,2012,Unknown,118930,120000,Single Family,Detached House,3,2,1052,1.021958,North
3/29/2012,2012,West Hartford,205600,300000,Single Family,Detached House,3,1,1059,1.021958,South
3/29/2012,2012,West Hartford,141800,242000,Single Family,Detached House,3,1,934,1.021958,South
3/29/2012,2012,Stamford,536240,700000,Single Family,Detached House,3,2,909,1.021958,East
3/29/2012,2012,Waterbury,136630,179900,Single Family,Detached House,3,3,953,1.021958,North
3/30/2012,2012,Unknown,259210,230000,Single Family,Detached House,3,3,1027,1.021958,North
3/30/2012,2012,Waterbury,110650,55000,Single Family,Detached House,3,1,953,1.021958,North
3/31/2012,2012,Stamford,1019520,975000,Single Family,Detached House,3,2,1111.658981,1.021958,North
3/31/2012,2012,Bridgeport,172170,175000,Single Family,Detached House,3,2,917,1.021958,West
3/31/2012,2012,Waterbury,123640,144900,Single Family,Detached House,3,2,926,1.021958,North
3/31/2012,2012,Unknown,732480,1005000,Single Family,Detached House,3,2,1006,1.021958,West
3/31/2012,2012,West Hartford,444584.207,312500,Single Family,Detached House,3,1,950,1.021958,East
3/31/2012,2012,Norwalk,641900,729000,Single Family,Detached House,3,1,1075,1.021958,West
3/31/2012,2012,Waterbury,87350,124000,Single Family,Detached House,3,3,1111.658981,1.021958,North
3/31/2012,2012,Bridgeport,133000,89500,Four Family,Fourplex,8,7,2455,1.021958,South
4/1/2012,2012,Stamford,644940,900000,Single Family,Detached House,3,3,921,1.021958,East
4/1/2012,2012,Greenwich,2010890,3350000,Single Family,Detached House,3,1,1067,1.021958,East
4/1/2012,2012,Fairfield,342930,595000,Single Family,Detached House,3,1,925,1.021958,West
4/1/2012,2012,West Hartford,136700,225000,Single Family,Detached House,3,1,1111.658981,1.021958,South
4/1/2012,2012,Stamford,410850,485000,Single Family,Detached House,3,3,1044,1.021958,South
4/1/2012,2012,West Hartford,235800,435000,Single Family,Detached House,3,3,1068,1.021958,East
4/1/2012,2012,West Hartford,200200,273000,Single Family,Detached House,3,2,930,1.021958,North
4/5/2012,2012,Fairfield,356160,520000,Single Family,Detached House,3,2,969,1.021958,West
4/5/2012,2012,Norwalk,228130,314000,Single Family,Detached House,3,1,1058,1.021958,West
4/6/2012,2012,Stamford,348990,423750,Single Family,Detached House,3,1,1042,1.021958,West
4/7/2012,2012,Greenwich,711130,300000,Single Family,Detached House,3,3,1036,1.021958,North
4/7/2012,2012,Stamford,274630,250000,Single Family,Detached House,3,3,999,1.021958,West
4/7/2012,2012,West Hartford,154300,317500,Single Family,Detached House,3,3,974,1.021958,North
4/7/2012,2012,Stamford,780610,1186000,Single Family,Detached House,3,3,928,1.021958,North
4/7/2012,2012,Norwalk,301700,410000,Single Family,Detached House,3,1,932,1.021958,South
4/8/2012,2012,Bridgeport,444584.207,175000,Two Family,Duplex,4,3,1388,1.021958,North
4/8/2012,2012,Unknown,386110,450000,Single Family,Detached House,3,1,1051,1.021958,East
4/9/2012,2012,Fairfield,319550,375000,Single Family,Detached House,3,3,1096,1.021958,South
4/9/2012,2012,Stamford,410340,466000,Single Family,Detached House,3,3,1049,1.021958,West
4/9/2012,2012,Norwalk,290500,470000,Single Family,Detached House,3,1,942,1.021958,East
4/12/2012,2012,West Hartford,146000,225000,Single Family,Detached House,3,1,907,1.021958,North
4/12/2012,2012,Unknown,444584.207,62500,Single Family,Detached House,3,1,1062,1.021958,West
4/12/2012,2012,West Hartford,233200,340000,Single Family,Duplex,4,4,1279,1.021958,South
4/12/2012,2012,West Hartford,444584.207,165202,Single Family,Detached House,3,3,908,1.021958,West
4/12/2012,2012,West Hartford,295700,472000,Single Family,Detached House,3,1,1111.658981,1.021958,East
4/12/2012,2012,Waterbury,103120,82500,Single Family,Detached House,3,2,927,1.021958,North
4/12/2012,2012,Stamford,362700,490000,Single Family,Detached House,3,3,1007,1.021958,East
4/13/2012,2012,Norwalk,284620,450000,Single Family,Detached House,3,2,1111.658981,1.021958,North
4/13/2012,2012,Greenwich,533960,500000,Single Family,Detached House,3,2,1096,1.021958,South
4/13/2012,2012,Waterbury,102510,110000,Single Family,Detached House,3,3,967,1.021958,South
4/13/2012,2012,West Hartford,121500,200000,Single Family,Detached House,3,3,1063,1.021958,East
4/14/2012,2012,Norwalk,298340,407000,Single Family,Detached House,3,3,1075,1.021958,West
4/14/2012,2012,Waterbury,106150,36100,Single Family,Triplex,6,5,1938,1.021958,West
4/14/2012,2012,West Hartford,200400,251000,Single Family,Detached House,3,3,1058,1.021958,North
4/15/2012,2012,Bridgeport,130300,118000,Single Family,Detached House,3,3,1111.658981,1.021958,East
4/15/2012,2012,Bridgeport,165980,385000,Two Family,Duplex,4,4,1111.658981,1.021958,East
4/15/2012,2012,West Hartford,243200,358000,Single Family,Detached House,3,1,999,1.021958,West
4/16/2012,2012,Norwalk,287280,461000,Single Family,Detached House,3,2,981,1.021958,South
4/16/2012,2012,Stamford,1726670,1700000,Single Family,Detached House,3,3,1058,1.021958,East
4/16/2012,2012,Waterbury,96470,127000,Single Family,Detached House,3,2,937,1.021958,South
4/19/2012,2012,West Hartford,444584.207,210000,Single Family,Detached House,3,3,913,1.021958,East
4/19/2012,2012,West Hartford,154100,232000,Single Family,Detached House,3,3,970,1.021958,East
4/19/2012,2012,Greenwich,1438500,1950000,Single Family,Detached House,3,2,919,1.021958,North
4/19/2012,2012,Stamford,444584.207,5000000,Single Family,Detached House,3,2,1075,1.021958,North
4/19/2012,2012,Bridgeport,200980,256000,Single Family,Detached House,3,2,993,1.021958,East
4/20/2012,2012,Bridgeport,135600,145000,Single Family,Detached House,3,2,1073,1.021958,East
4/22/2012,2012,Fairfield,491470,760000,Single Family,Detached House,3,1,961,1.021958,North
4/22/2012,2012,Fairfield,363860,272500,Single Family,Detached House,3,3,1111.658981,1.021958,North
4/22/2012,2012,Fairfield,444584.207,835000,Single Family,Detached House,3,2,940,1.021958,East
4/23/2012,2012,Waterbury,143600,160000,Single Family,Detached House,3,2,963,1.021958,North
4/23/2012,2012,Norwalk,963690,1850000,Single Family,Detached House,3,2,937,1.021958,South
4/23/2012,2012,Greenwich,3193120,4800000,Single Family,Detached House,3,2,1065,1.021958,North
4/23/2012,2012,Norwalk,357840,97590,Single Family,Detached House,3,1,997,1.021958,East
4/26/2012,2012,Waterbury,82240,73000,Single Family,Detached House,3,3,994,1.021958,South
4/26/2012,2012,Unknown,156220,199999,Single Family,Detached House,3,3,909,1.021958,South
4/27/2012,2012,Greenwich,952980,737500,Single Family,Detached House,3,1,914,1.021958,East
4/27/2012,2012,Fairfield,1352120,2390000,Single Family,Detached House,3,2,914,1.021958,East
4/27/2012,2012,Bridgeport,95800,37000,Single Family,Detached House,3,3,1042,1.021958,West
4/27/2012,2012,Bridgeport,138770,159900,Single Family,Detached House,3,3,1098,1.021958,North
4/28/2012,2012,Fairfield,385910,380000,Single Family,Detached House,3,1,984,1.021958,South
4/28/2012,2012,Norwalk,321930,345000,Single Family,Detached House,3,2,992,1.021958,East
4/29/2012,2012,Bridgeport,126730,160000,Single Family,Detached House,3,2,1111.658981,1.021958,West
4/29/2012,2012,Greenwich,2458820,3200000,Single Family,Detached House,3,3,1023,1.021958,North
4/30/2012,2012,Unknown,97930,64500,Single Family,Detached House,3,1,975,1.021958,West
4/30/2012,2012,Norwalk,444584.207,250000,Single Family,Detached House,3,1,1061,1.021958,North
4/30/2012,2012,Fairfield,366450,430000,Single Family,Detached House,3,3,1095,1.021958,East
5/3/2012,2012,Bridgeport,220630,280000,Single Family,Detached House,3,3,997,1.021958,East
5/3/2012,2012,Greenwich,1221850,1560000,Single Family,Detached House,3,2,902,1.021958,North
5/3/2012,2012,Fairfield,229880,269900,Two Family,Duplex,4,2,1428,1.021958,South
5/3/2012,2012,Bridgeport,287480,320000,Single Family,Detached House,3,3,1015,1.021958,South
5/3/2012,2012,Bridgeport,144400,178500,Single Family,Detached House,3,1,1029,1.021958,North
5/3/2012,2012,Stamford,431820,553000,Single Family,Detached House,3,2,1024,1.021958,West
5/4/2012,2012,Stamford,449140,125000,Single Family,Detached House,3,1,1055,1.021958,North
5/4/2012,2012,Unknown,351540,420000,Single Family,Detached House,3,3,913,1.021958,South
5/4/2012,2012,Unknown,449140,125000,Single Family,Detached House,3,2,961,1.021958,West
5/4/2012,2012,West Hartford,147300,242000,Single Family,Detached House,3,2,911,1.021958,West
5/5/2012,2012,Norwalk,695870,750000,Single Family,Detached House,3,3,1020,1.021958,East
5/5/2012,2012,Bridgeport,165610,225000,Two Family,Duplex,4,4,1458,1.021958,East
5/6/2012,2012,Norwalk,244370,365000,Single Family,Detached House,3,1,1111.658981,1.021958,South
5/7/2012,2012,Fairfield,227850,230000,Single Family,Detached House,3,2,971,1.021958,South
5/7/2012,2012,Waterbury,81520,105000,Single Family,Detached House,3,3,1111.658981,1.021958,South
5/10/2012,2012,West Hartford,444584.207,955000,Single Family,Detached House,3,3,983,1.021958,North
5/10/2012,2012,Bridgeport,111970,91000,Single Family,Detached House,3,2,922,1.021958,West
5/10/2012,2012,Bridgeport,444584.207,265000,Single Family,Detached House,3,1,1049,1.021958,East
5/10/2012,2012,Waterbury,135860,110000,Two Family,Duplex,4,4,1256,1.021958,East
5/10/2012,2012,West Hartford,444584.207,409000,Single Family,Detached House,3,1,1032,1.021958,West
5/10/2012,2012,Norwalk,266560,359000,Three Family,Triplex,6,4,2175,1.021958,North
5/10/2012,2012,Stamford,444584.207,425000,Single Family,Duplex,4,4,1364,1.021958,East
5/11/2012,2012,West Hartford,174700,280000,Single Family,Detached House,3,2,1097,1.021958,East
5/11/2012,2012,Waterbury,110080,20000,Two Family,Duplex,4,2,1433,1.021958,South
5/12/2012,2012,Bridgeport,176210,82500,Two Family,Duplex,4,2,1399,1.021958,North
5/13/2012,2012,Bridgeport,195570,124000,Single Family,Duplex,4,2,1368,1.021958,North
5/13/2012,2012,Unknown,85760,65000,Single Family,Detached House,3,1,997,1.021958,East
5/13/2012,2012,Waterbury,105050,133000,Single Family,Detached House,3,1,965,1.021958,South
5/13/2012,2012,Fairfield,358540,385000,Single Family,Detached House,3,3,1111.658981,1.021958,East
5/14/2012,2012,Waterbury,115350,139900,Single Family,Detached House,3,3,1068,1.021958,South
5/14/2012,2012,Norwalk,331940,510000,Single Family,Detached House,3,3,1078,1.021958,West
5/14/2012,2012,Fairfield,444584.207,350000,Single Family,Detached House,3,2,1080,1.021958,North
5/14/2012,2012,Unknown,105870,123000,Single Family,Detached House,3,2,991,1.021958,North
5/14/2012,2012,Norwalk,360430,575000,Single Family,Detached House,3,3,1111.658981,1.021958,East
5/14/2012,2012,Waterbury,109920,57500,Single Family,Detached House,3,2,1111.658981,1.021958,West
5/14/2012,2012,Waterbury,444584.207,37000,Three Family,Triplex,6,6,1901,1.021958,North
5/17/2012,2012,Unknown,89550,33000,Two Family,Duplex,4,2,1338,1.021958,East
5/17/2012,2012,Waterbury,74930,14900,Single Family,Detached House,3,3,960,1.021958,North
5/17/2012,2012,Bridgeport,125340,139000,Single Family,Detached House,3,1,1111.658981,1.021958,South
5/17/2012,2012,Greenwich,2148650,2050000,Single Family,Detached House,3,3,933,1.021958,North
5/18/2012,2012,Stamford,473610,612000,Single Family,Detached House,3,3,995,1.021958,West
5/18/2012,2012,Stamford,614870,485000,Single Family,Detached House,3,3,981,1.021958,West
5/18/2012,2012,Waterbury,156110,135000,Single Family,Detached House,3,2,947,1.021958,East
5/19/2012,2012,Greenwich,658910,860000,Single Family,Detached House,3,2,911,1.021958,South
5/19/2012,2012,Bridgeport,155560,235000,Single Family,Detached House,3,3,960,1.021958,West
5/19/2012,2012,Greenwich,444584.207,1367500,Single Family,Detached House,3,3,1091,1.021958,South
5/20/2012,2012,Unknown,830270,919000,Single Family,Detached House,3,1,1111.658981,1.021958,East
5/20/2012,2012,Greenwich,971110,1150000,Single Family,Detached House,3,3,1014,1.021958,North
